i3-dab5| accepted; 
ur-nig2-e| by Ur-nig 
ga zu kasz zu-a u4-bi mi-ni-ib-til-la-am3| He brought to an end its days of familiarity with milk and with beer! 
a-pi4-sal4{ki}-ta nibru{ki}-sze3 ma2 ku6 gid2-da u3 ma2 gur-ra| from Apisal to Nippur barge with fish punted and barge returned. 
ka-zal-lu{ki}| of Kazallu 
GAN2-gu4 ka5-a| oxen-field of Fox; 
ki-ru-gu2 1(disz)-kam-ma-am3| 1st kirugu. 
nu-ub-da-ab-kur2-ru-a| does not remove it, 
u4-ba| at that time, 
kiszib3 lugal-nig2-lagar-e| sealed tablet of Lugal-niglagar-e.
igi musz-husz igi lu2-ulu3 musz-husz| The dragon-face (is) the dragon-face of a man, 
abgal2-bi mu-du3| He built its Abgal. 
i-bi2-{d}suen dumu szu-{d}suen-ke4| Ibbi-Suen, son of Šū-Suen, 
{disz}ba-an-sa6-ge-en gala sanga| Bansage, the lamentation-priest (and) temple administrator; 
3(disz) {d}lamma-ama(LU)-mu| 3 (mana wool for) Lamma-amamu 
dumu ur-{d}suen| son of Ur-Suen. 
GAN2 sa6-ga| and the best fields 
{d}ig-alim dumu ki-ag2-ga2-ni| his beloved son Ig-alim,
sa gu4 8(disz)-kam kun gu4 1(u) 2(disz)-kam| tendon of 8 oxen, tail of 12 oxen, 
a-di u4 3(u)-kam sza 2(u) 9(disz) u4-mi| until the 30th day, (a period) of 29 days 
sze-ba sze-gar ziz2-gar| barley rations, barley appropriations, emmer appropriations, 
inim sa6-sa6-ge-mu-ta| through my pleasing words (of prayer) 
ki-e-ni tin u4-mesz egir-mesz li-s,a-a| May the order for a life of long days come forth
3(disz) sa szum2| 3 bundles onions,
sze-ba ug3-IL2| barley rations of the porter(s),
dumu ku3-{d}ba-ba6-ke4| son of Ku-Baba, 
5(disz) udu bar-su-ga| 5 fleece-less sheep; 
1/3(disz) ma-na ku3-babbar sa10 til-la-bi-sze3| 1/3 mana of silver, as its full price, 
pisan szu-er3-ra-ta| from the basket of Šu-Erra(?)
en-na tuku-a| as much as he has, 
kiszib3 ab-ba-sa6-ga| under seal of Abbasaga; 
mu-un-ki-gar| I founded. 
apin-la2 szuku-sze3 ha-la-a| a. for prebend doled out; 
abul a-ga-de3{ki}-ka a-gin7 kusz2 mi-ni-ib-gal2| What a weariness all these caused at Agade’s city gates! 
a-a {d}en-ki ur5 nam-ba-ug7-e sza3 nam-ba-sag3-ge| Father Enki, you must not be distressed, you must not be anxious. 
1(disz) gurusz ha-da maszkim a-pi4-sal4{ki}| 1 male laborer, Ḫada, enforcer, Apisal,
pa-bi-a giri17-zal he2-gal2 {d}utu he2-en-da-hul2| May there be joy in its branches, may Utu rejoice with him 
be-li2-i-pa-al-sa3-am| Bēlī-ippalsam, 
iti a2-ki-ti| month “Akiti,” 
ARAD2-zu| (is) your servant.
dumu geme2-{d}inanna| son of Geme-inanna
kiszib3 da-a-gi4| under seal of Da’agi; 
nam-ti-la-ni-sze3| (also) for his own life 
e2 sza-ba-ra-an-gul-e| The one who is to destroy a house can(!?) (only) destroy a house 
ad pa3-da gid2-i tu-lu gin6-x| Finding the sound (by?) tightening(?), slackening, and correcting has not escaped my hand 
lu2 lu2 a-sza3 ki-duru5| a man to another man a field on irrigable land
a2 {tu15}sa12-di3-um-ma-bi| its eastern side. 
tukumbi sa2 im-ma-ni-ib-du11| If it has occurred regularly here 
gi-1(disz)-ninda2 esz2-GAN2 za-gin3 szu ba-ni-in-du8| She held the lapis-lazuli measuring rod and measuring line in her hand. 
ma2 sze an-za-gar3-sze3| boat with barley, to the tower(?); 
a2-bi u4 1(u) la2 1(disz)| its labor: 9 days. 
ka-gu10 ma-gig| My mouth is hurting me 
ibila sze-ba i3-ba u3 siki-ba| The heir who barley, oil allotment and clothing allowance
en3 tar-re im-ma-ni-in-kusz2-u3| He was exhausting him with inquiries 
lu2 umma{ki}| (and) the Man of Umma 
pisan lu2-dingir-ra dumu ku3-saga| xxx 
hur-sag kur ebih{ki}-ke4 te-a-me-en ni2-bi na-ma-ra-ab-be2| I am the one that had approached the mountain range (with?) the mountain of Ebih, it should not/indeed it did(?) act fearfully towards me(?) 
mu a-ra2 2(disz)-kam-asz si-mu-ru-um{ki} ba-hul-ta| xxx 
1/3(disz) sila3 lal3| 1/3 sila3 of date syrup, 
inim {d}en-lil2-la2-ta| At the word of Enlil 
numun-a-ni| to his seed
ur-{d}namma| Ur-Namma, 
u3 {d}nin-isin2{si}-na| and Nininsina. 
{d}en-ki nu-zu-gin7 a-na-am3 ne-e im-me| Enki, as if perplexed, said, “What is this?!” 
nin-mu hu-mu-hul2-le-en| my mistress, may you rejoice over me. 
szu e-na-tak4| send; 
1(disz) udu inim-ma-ni-zi dam a-da-la2-a| 1 sheep of Inimanizi spouse(?) of Adalaya, 
agrig-mah| chief steward 
u3 lu2-ulu3 sag-zi-gal2| or an ordinary living personage, 
gibil-bi mu-ni-in-du3| he built anew.
he2-de5-de5-ge-ne %a li-il-qu3-ta2| may they pluck out.
1(disz) sila4 it-ra-ak-i3-li2| 1 lamb, Itraq-ilī; 
ensi2 umma{ki}| the governor of Umma, 
ki du11-ga-ta ba-zi| booked out of (account of) Duga, 
men dagal-la sag an-sze3 il2-il2| lifting up head to heaven in broad crown, 
1(disz) gu4 geszbun2 {d}szul-gi KI.AN{ki}| 1 ox, cultic meal of Šulgi of Ki’an; 
1(asz) 4(barig) gur| (and) 1 (gur) 4 barig
lukur ki-ag2| beloved lukur priestess 
dumu ur-{d}en-zu| son of Ur-Suen
ku3-bi 5/6(disz) gin2 la2 2(disz) 1/2(disz) sze| their silver: 5/6 shekels less 2 1/2 grains; 
2(u) 1(disz) u8| 21 ewes,
iti diri-sze3| xxx 
uru2-gu10 du-lum gig ba-gal2-la-ke4-esz| Because there was bitter distress in my city, 
na-an-ga-ba-e-da-du3-e igi-zu ki-gu10-usz-sze3| May you not be able to go away from(?) me, (set) your face to where I am 
2(gesz2) 1(u) 6(asz) lugal-sza3| 136 for Lugal-[ša];
{d}nin-gir2-su-ka-ra| of Ningirsu, 
a-a-gu10 u3 ama-gu10 a si-ig-ga nag-ze2-en| (Saying) “My father and mother, drink clear water!” 
{d}nin-tu-re ama5 kalam-ma-ka {gesz}ig-szu-ur2 im-mi-in-de6| Nintur bolted the door of the storehouses of the Land. 
u2-gu de2 lu2 nu-pa3| Lost (one), who is not found! 
{u2}ama-ni| 'his mother' plant;
{d}nanna uri2{ki}-ma musz3 mi-ni-in-ga amasz-a-na lil2-e| Nanna has abandoned Ur and has let the breezes haunt his sheepfold. 
lu2 e2 {d}lugal-uru11{ki} du3-a| the man who built the temple of Lugalurub, 
nig2 sza3 hul2-hul2 {d}nin-lil2-la2-ka| and also that which gladdens the heart of Ninlil, 
szul {d}utu-u3 esz3 e2-babbar2-ra mu-na-ni-ib2-ku4-ku4| up to the young man Utu into the temple E-babbar brings, 
ri2-mu-usz dumu szar-ru-ki-in| Rimush, son of Sargon, 
u4 2(u) 8(disz)-kam| the 28th day, 
ki-bala-ni| The rebel lands 
4(u) 4(disz) za-gul| 44 (pieces of) carnelian. 
mu10 mu-na-ni-du11| he decorated it for him.
uri2{ki} dagal-e-de3| in order to expand Ur 
1(barig) sze-lu2| 1 barig coriander, 
kiszib3 a-du-mu| under seal of Aramu; 
u2-durunx(KU.KU)-na-mu| my hay, 
e2-dilmun{ki}| The Edilmun temple, your tavern 
AK-NI| and AK-NI, 
mu-sze3 ba-sa4| it had been named. 
a-sza3-ta e11-da| xxx 
e2 {d}nin-mar{ki}-ka| in the temple of Ninmar, 
dingir-a-ni-ir| his god, 
sza3 gur6-gur6-a-gu10 an-ta he2-ib2-gi4| Thus my “free will” confronts(?) (what it wishes) 
gesz-ur3-sze3 mu-na-gar| he (also) set them as roof-beams for him. 
ab2 munzer-e edin ki nu-zu-bi giri3 kur2 ba-ra-an-dab5-be2-esz| The munzer fed cows took to a strange path in an unknown part of the plain 
ta-ri2-bu| Taribu; 
ki-en-gi-re6 i3 diri mu-da-de2| Sumer will pour out oil in excess with you, 
iti me-gi8-gal2| month “Mekigal,” 
u4 2(disz)-sze3 iri-sa12-rig7{ki}-ta| for 2 workdays from Irisagrig 
e2 uszbar-ra-na-ka| the house of his father-in-law
{d}im-gur-{d}suen| Imgur-Sîn, 
ur2 {gesz}ma2 tur-re {d}am-an-ki-ka3-ke4| The keel of Enki’s little boat was trembling 
a-na-gin7 an-ak| Did you see the man who had seven children? How has he fared? 
e2 ama-zu-sze3 i3 gur3-ru-me-en| I am your relation by marriage. I brought butter oil to your mother’s house 
ug3 ba-sag3 dim2-ma-bi ba-suh3| the people were smitten, their minds thrown into disorder. 
e-ne u3 numun-a-ni| and him and his seed 
i3-ba| oil ration 
sza3-ba 5(disz) tu-di-da ka-ba ku3 nigin2-na 2(disz) tu-di-da ka-ba an-na nigin2-na i3-in-gal2| Among them are 5 toggle pins, their openings would with silver; 2 toggle pins, their openings would with tin. 
musz sahar| snake of the dust 
dumu dumu-gi7-gin7-nam| will be a child equal to a free child;
i7 i3-szum2-ma i3-ib2-de6-a| The canal that on the Išum (field) brings (water),  
gesz tur-tur-bi ur2-ba ga-mu-bu3-bu3| their small trees I shall uproot; 
tu-la2-um-ta| From Tula'um 
ur-{d}utu| Ur-Utu,
{d}szara2-kam-e| by Šarakam 
an ki-ta ba-da-ba9-ra2-a-ba| when the heavens had been separated from the earth, 
ga2-la nu-dag-e-de3| might never cease, 
1(disz) sila4 {d}en-lil2| One lamb (for) Enlil, 
7(disz) gu4 mu 2(asz) niga| 7 oxen, 2 years (old), grain-fed, 
2(disz) gurusz a2 1(u) gin2| 2 male laborers, , labor: 110 shekels; 
a mu-na-ru| dedicated it (this vessel) 
am hur-sag-ga2 giri17-sze3 ba-an-la2-la2| wild bulls of the mountains by their noses tied up 
ezem ezem ezem ezem ezem ezem ezem| festival, festival, festival, festival, festival, festival, festival;
gesz-gi4-gal2-bi-im| It is its gešgigal “response”. 
mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul| year: “Kimaš and Ḫurti were destroyed;” 
a kur-ta nam-tar-ra| Water from the mountain destined.
ma2-e ba-il2| he had carried onto boats. 
ki e2-a-ba-ni| with Ea-bani; 
i-mur-ma isz-t,ur2| looked at it and wrote it down.
sze nam-tum3| not bring forth barley.
kesz3{ki} ku3 dab-be2 e2 nun| Temple of Keš, (into which) the pure(?) pass, noble temple 
gu-ti-um{ki}| Gutium; 
lugal mi3 du11-ga| (I am) the king who has been cared for. 
e2-tum szabra sanga-ne| xxx 
e2 ki-ag2-ni| his beloved temple, 
diri ga2-e za-ra kusz2-u3-na-gu10| Excessive (is?) my exertion for you 
szudum nibru{ki} esz3 {d}ur-an-ki-a| how did the storeroom of Nibru, the shrine Dur-an-ki, 
nu 5(ban2) {d}nin-mar{ki} i3-sa6| Not (receiving): 50 litres (of barley for) Ninmar-isa
GAN2-ne2 zi-de3 szu dagal-la| It is the one that broadens it the fertile field 
en-he2-du7-an-na a-ra-zu ga-mu-ra-ab-du11| I am Enheduana, and I shall perform an arazu prayer for you 
igi an-nu-um-be-el-i3-li2 dumu a-pil2-{d}suen| before Annum-bēl-ilī, son of Apil-sîn;
mu-na-ni-ku4-ku4| was caused to become.
mes-KALAM-du10| Mes-KALAM-dug 
szunigin 1(gesz2) 5(u) 8(disz) 1/2(disz) sar kin sahar u3 u2-sag11| Total: 118 1/2 sar the activity for earthwork and reed bundle for barges 
ina szi-te-'-u2 u2-s,u-ra-a-ti| which, while searching for the ground-plans
bur-sag| the pantry(?), 
mu mu-ni-sa4| he named it (this statue), 
du-ri2-sze3| forever 
ganba| at the market rates 
e2-kiszib3-ba sza3 nibru{ki}-ta| from the storage facility in Nippur, 
{gesz}ildag4 ki-en-du za3-ga du3-a-gin7 usu-a-me-en3| You are such a one as, like an ildag planted by the side of a watercourse, is strong. 
{na4}za-gin3-bi u4 kar2-kar2-a-ka| The silver and lapis was something that (lit. of) glowing sunlight 
udu si-il-la2| inspected sheep 
temen gal {gesz}erin duru5| When he lives (within) the marked foundation(?) of fresh cedar 
a-ru-a lugal-nu-kusz2| donated (by) Lugal-nukuš; 
{gesz}da-an-ga apin| part of a plow 
5(szar'ugal){gal} GAN2| 50.00.00 (180,000) bur3 field; 
kiszib3 lugal-ki-gal-la| xxx 
1(disz) nu {d}utu-saga| 1 diš-(worker) (no!): Utu-saga, 
sanga {d}nin-gir2-su-ka-ra| administrator of Ningirsu, 
lu2-{d}en-ki| for Lu-Enki; 
ab-sin2 zi kalam-ma| and furrows, the life of the country, 
1(disz) kusz gu4 al-hul-a a-gar gu7-a| 1 hide of ox, damaged, tanned, 
ga-ar3-bi 4(ban2) 7(disz) 1/2(disz) sila3| their (kašk) cheese: 4 ban2 7 1/2 sila3, 
1(esze3) 4(iku) GAN2 1(u)-ta| 1 eše3 4 iku surface area at 10 each, 
e-ne di kur-ra i3-ku5-de3 ka-asz kur-ra i3-bar-re| he will issue the judgments of the nether world and render the decisions of the nether world. 
ru-gu2-de3| opposing him 
3(u) ma-na gi-na| 30 mana, established: 
{d}udug hul a-la2 hul {d}gidim hul gal5-la2 hul| The evil u.-demon, the evil a.-ghost, the evil g.-ghost, the evil g.-demon,
sza3 dagal sur-ra gesz-hur ku3-ga e2 eridu{ki}-ga-ke4 szu dab-be2| (Possessor) of a mind broadly “squeezed” (of every potential idea?), grasping the holy plans of the temple of Eridu 
masz-da3 gesz-bur2-ra dab5-ba-gin7 ka sahar-ra bi2-in-us2| Like a gazelle caught in a trap, their mouths bit the dust. 
2(disz) har zabar| 2 rings, bronze. 
erin2 masz-kan2-u2-szu-re2{ki}| the troops of Maškan-ušuri, 
ur5-e gesztu2-ga-na| In this way to his mind 
{gesz}ha-lu-ub2-ba tun3 bi2-bar| He put the oak wood to the axe. 
mu en {d}inanna masz-e i3-pa3| year: “The en-(priest) of Inanna by goat was found.” 
{d}nanna lu2-ulu3-bi nam-tag-ga-ni u3-mu-e-du8| Nanna, after you have absolved that man's sin, 
kin-sig unu2 gal-ni mu-ni he2-pa3-de3| —at the lunches, in her great dining hall, they call her name. 
ki-ba na be2-ru2| he erected a (new) stele at that place. 
ki ab-ba-sa6-ga-ta| from Abba-saga(?) 
1(barig) 4(disz) ur-{d}szu-an-na| 60 litres (of barley) 4 units (for) Ur-szuanna
e2 ad-da| the household of the father
{i7}idigna {i7}buranunx(KIB.NUN)-na| So that malevolent plants grow on both(?) banks of the Tigris and Euphrates 
1/3(disz){sza} ma-na ku3| 1/3rd mina of silver
iti ezem-{d}nin-a-zu| xxx 
suhusz bad3-da-gin7 gar-gar-ra| She was firmly set as the base of a wall.
szunigin 8(disz) udu niga 6(disz) masz2-gal niga| total: 8 sheep, barley-fed, (and) 6 bucks, barley-fed,; 
szul-a-lum nu-zu-gu10 sag-ki ba-gid2 tal3 ak-gu10 mu-e-pa3| My not knowing punishment was frowned upon(?), I have found my (ability) to make noise 
iti ezem-{d}me-ki-gal2-sze3| to month “Festival-of-Mekigal,” 
1(disz) gurusz  u4 5(disz)-sze3| 1 male laborer for 5 days, 
3(u) ka-guru7| 30, silo manager; 
ug3-e asilax(EZEMxX) si-si| who fills the people with joy 
1(asz) NE-nu-si| 1 NEnusi; 
tir nag-su{ki} i3-dab5| the Nagsu-woods took in charge; 
1(asz) dim3 {gesz}taskarin tur| 1 small boxwood figurine, 
1(gesz2) 2(u) {gesz}mes 3(disz)-kam-ma us2-bi| 80 mes(-trees), 3rd quality, 
igi nu-gal2 inim| It was something unseen (before), and (for which) there was no word, something not to be accepted(?) 
umma{ki}-ta kar-sze3 zi3-sig15 ga6-ga2| from Umma to the quay meal transported; 
ziz2-bi 2(asz) gur| its emmer: 2 gur; 
1(asz) udu i3| 1 tallow sheep, 
tu-ra-am3| The sick one 
nam-gal nam-lugal-la-ga2| The greatness of my kingship 
{gesz}har-muszen-na| bird snare 
tigi a-da-ab gi-gid2 za-am-za-am-gu10 a-nir-ra mu-da-an-ku4| “My tigi, adab, flute and zamzam songs have been turned into laments because of me. 
e2-dub-ba-am3| (Solution): it is the Edubba. 
{d}ha-ia3 dingir kalam-ma ga-ti-e ki ag2 nun {d}ri-im-{d}suen-e a2 bad tal2-ni he2-me-en| Haya, god of the land who loves the will to live/the ex-voto offering(?), your shall be his one who extends open arms (in protection) 
u3 {d}be-al-at-te-ra-ba-an| and Belat-teraban,
gu-du-du| did Gududu, 
la-ni-mu| Lanimu. 
e2-kiszib3-ba ensi2-ka| the warehouse of the governor; 
{d}suen-ga-szi-id| Sîn-kāšid, 
lu2-dingir-ra| Lu-dingira,
zi-ni-sze3| for her life 
lu2 e2 du3-a-ka| the temple builder, 
masz2 giggi2| black kid 
1(disz) ur-{d}suen enku| 1 Ur-Suen, fish-tither,
e2-tur3 nam-en-na| the stockyard of the priesthood
uzu ma-sila3| ankle joint 
{gesz}al-am3 mu-bi du10-ga hur-sag mu-un-gal2| It is the hoe, its good name is present in the mountain range 
{d}en-lil2 nam-mah nam-en-na mi-ni-in-tu-de3-en| Enlil engendered you into (a role of) supremacy and lordship 
mu ha-ar-szi{ki} u3 ki-masz{ki} ba-hul| year: “Harši and Kimaš were destroyed.” 
gudu4-ge-ne| and by the lustration priests 
ki-tusz nam-dingir-bi-sze3 tum2-ma| the residence worthy of her divinity, 
5(gesz'u) szagax(LU2xESZ2)| 3000 prisoners; 
{d}en-lil2-le| Enlil
a2-bi 4(gesz'u) u4 1(disz)-sze3| the labor: 2400 workdays; 
{d}nanna-ki-ag2| Nanna-kiag. 
lu2-kur2 szu ba-an-zi-zi-a| shall incite another person to do it,
1(disz) udu bar-su-ga| 1 sheep, without fleece, 
{d}asar-e abzu-a| Asar in Abzu,
nam sa6-ga| The favorable destiny 
ur-sa6| Ur-sa(ga), 
1(disz) masz-da3 niga| 1 gazelle, grain-fed, 
a ma2 sag-ga2-ke4 gu3 nu-mu-un-gi4-gi4 asil-la2 nu-mu-un-szub| The water of the prow did not scream(?), it did not cast joy(?) 
6(disz) {gesz}pisan siki| 6 boxes (for) wool. 
{d}inanna-ra esz3 e2-an-na-ka mu-na-da-an-ku4-ku4-u3| before Inanna in the shrine of E-anna he enters. 
gidlam(MUNUS.USZ.DAM)-a-ni {d}nam-ra-at munus sa6-ga-a er2 in-sze8-sze8-e| His wife Namrat, the beautiful lady, was lamenting bitterly. 
e2 nam-erisz-dingir-ra-ka-ni| her house of the office of the eriš-dingir priestess, 
en sze-ga| obedient en priest 
mu-kux(DU) e2 an-za-gar3| delivery, house of tower;
masz2-da-re6-a lugal| royal “mašdarea” offering, 
szu ba-ti| has received. 
giri3 lu2-{d}szul-gi-ra| via Lu-Šulgira 
{d}gesztin-an-na| from Geštinana 
szu mu-na-ni-in-du7| he prepard perfectly for him. 
ba-sa6| (of) Basa. 
u3 e2 {d}nin-dar-a| xxx 
sza3-ga-ni bi2-ib-du10-ge| he will satisfy his heart.
pu-ri-szu2| (and the period allotted by) his die, 
sag-nig2-gur11-ra-kam| are the debit.
szunigin 5(u) 6(disz) dumu 1(disz) 1/2(disz) ma-na-ta| total: 56 children, 1 1/2 mina each; 
kiszib3-bi 4(disz)-am3| their sealed documents: 4, 
szu-tu-ul| Šutul, 
mi2 zi-de3-esz du11-ga| gently cared for, 
mu hu-uh2-nu-ri{ki} ba-hul-ta| xxx 
nun ki-ag2 {d}nanna {d}nin-gal-bi he2-em| May I be the prince beloved of Nanna and Ningal. 
musz3 mi-ni-in-ga-am3| The lady of Kesh has ceased there, her sheepfold is an empty wind 
am-babbar-ginx eden su8-ga| like white bulls standing about on the plain; 
a-ba du11-ga-na| about what he has declared 
ki-tusz-mu| my residence 
{d}nin-isin2{si}-na| O Nininsina 
1(u) gurusz hun-ga2 ma2 gid2| 10 male laborers, hirelings, for barge punting,
iri-me uri2{ki}-e he2-gal2-la gu2-bi mi-ni-ib2-zi-ga-a| made our city Ur raise neck in prosperity; 
ar3 ha-la-{d}lamma| milling: Ḫala-Lamma, 
1(disz) masz2-gal niga i3-li2-{d}da-gan lu2 eb-la{ki}| 1 buck, barley-fed, for Ilī-Dagan from Ebla; 
ugu2 lugal-e-ba-an-sa6 ba-a-gar| to the debit account of Lugal-ebansa entered, 
sila4| lamb 
u3-na-a-du11| When you speak to the king who has shined in the middle of the land like Utu 
e2-me-husz-ni2-gur3-ru| House that Carries the Fierce Me's 
um-ma lagaszx(SZIR.BUR.LA.DIL.BUR){ki}-ke4 musz3 mi-ni-in-ga-am3 amasz-a-ni lil2-la2| The matron of lagaš has ceased there, her sheepfold is an empty wind 
e2-tur3 ni2-te-na| from the stockyard "Nitena",
e-bar7-GAN2 u4-ma-dam ma-ra-e3-e3| at midday the abundance of the sun goes up for you. 
a2 6(disz) sila3-ta| the wage: 6 sila3 each (day), 
giri3 ur-{d}nisaba| via Ur-Nisaba, 
ma2 an-na-gin7 musz3| Like the boat of An, (it is) the sacred space/face(?) of the lands 
u3 be-la-at-suh(PAD)-ner| and Bēlat-Śuḫnir,
ki-sikil {d}inanna-ke4 nim-e nam mu-ni-ib2-tar-re| The young lady Inanna decreed the destiny of the fly: 
iri-me-a nig2-ul pa nam-e3| Did the ‘nig2-ul’ not emerge in our city? 
1(disz) masz2-gal niga szimaszgi2| 1 full-grown billy goat, grain-fed, Šimaškian, 
2(esze3) 3(iku) GAN2 1(u) la2 1/2(disz)-ta| 2 eše3 3 iku surface area at 10 less 1/2 each, 
si gu4 1(u) 2(disz)-kam| horn of 12 oxen, 
suhusz-su2| his foundation
{d}ig-alim| and Igalima 
sze-bi 2(u) 5(asz) 1(barig) gur| its barley: 25 gur 1 barig; 
mu an-sza-an{ki} HUB2 hul| Year: “Anšan . . . destroyed.” 
mu {d}szu-{d}suen lugal-e na-ru2-a-mah {d}en-lil2 {d}nin-lil2-ra mu-ne-du3| year: “Šu-Suen, the king, Great-stele for Enlil and Ninlil erected.” 
gesz-gid2-da-zu-u3 u3-mun kalam-ma-ka szu ba-ni-gid2-gid2| your lance reaches into the blood of the Land. 
nimgir-esz3-a-tum2| did Nimgir-ešatum 
u2-ta2-mi-szar-ra-am| Ūta-mīšaram 
ki-ru-gu2 6(disz)-kam-ma-am3| 6th kirugu. 
1(disz) masz2 a2-bi2-li2| 1 kid of Abī-ilī, 
{d}nisaba tur3-ra-a i3 he2-me-en amasz gara2 he2-me-en| Therefore, Nisaba, in the cattlepen you shall be the butter, in the sheepfold, the cream 
2(asz) za7-tur5 u3 za7-tur-tur| 2 translucent and small beads 
nin9-kal-la nin| (für) Ninkalla, die Herrin, 
in-dub gesz e3-a| xxx 
{d}lamma sa6-ga| For the benevolent protective deity 
ki-en-gi-sze3 kin-gi4-a| who to Sumer as envoys
1(disz) sila4 ga| 1 suckling lamb, 
u3 na-wi-ir-tum ama-a-ne-ne| and Nawirtum their mother
sze-bi 4(u) 6(asz) 3(barig) gur| its barley: 46 gur 3 barig; 
ba-ab-gen-ne-en| Like a bull that is not held in the yoke, I was compelled to go in the plain 
{disz}sa3-ap-hu-li-ip-hur| Sapḫu-lipḫur, 
{i7}idigna {i7}buranun-na za3-ga ba-al a kur-kur-ra mi-ni-ib-tum3| The Tigris and Euphrates, (having been) excavated on the edge, brought water into the lands 
szesz-a-ni| his brother 
sanga he2-a| be he a temple administrator,
ur-{d}ba-ba6| did Ur-Baba,  
bala tusz-a| having sat out the bala,
1(disz) ki nam-mah| 1, with Nammaḫ; 
nu-banda3-gu4 gu-u2-gu-a| manager of oxen: Gu’ugu’a 
iri{ki}-bi-a ga-tusz bi2-in-du11-ga ki-tusz na-an-ni-du10-ge| If someone decides, “I will dwell in this city!,” may he not enjoy the pleasures of a dwelling place! 
1(disz) ur-{d}szul-pa-e3 ku3-dim2| 1: Ur-Šulpa’e, the silversmith; 
ki du11-ge-ta| from Duge; 
a-ru-a geme2-e2-an-na| donated (by) Geme-Eanna, 
{uruda}aga-silig x a2 min-na-bi-da u3-sa-ar ba-ak| He had double-edged agasilig axes sharpened to be used against it. 
ma2 ma2-gan{ki}| and the boats of Magan,
sagi ARAD2-zu| cupbearer, is your servant.
za-pa-ag2| shout, cry 
nig2-gi-e bar tam-e| who chooses the right, 
e2 la-la-ka-ni| her temple of charm, 
1(gesz'u) 1(gesz2) 1(u) 3(disz) za-ah za-gul zalag2| 673 (pieces of) za-ah of bright carnelian. 
